table_name,json_key,n_sampled_rows,n_rows_with_key,percent_rows_with_key,inferred_value_type,example_values_compact,possible_feature_family,possible_feature_notes
aware_log,log_message,200,200,100.0,string,"""Scheduler triggered: schedule_aware_keep_alive schedule: {\""schedule\"":{\""schedule_id\"":\""schedule_aware_keep_alive\"",\""action\"":{\""type\"":\""service\"",\""intent_action\"":\""ACTION_AWARE_KEEP_ALIVE\"",\""class\"":\""com.aware.phone\\/com.aware.Aware\""},\""trigger\"":{\""interval\"":30,\""random\"":{},\""context\"":[],\""condition\"":[],\""hour\"":[],\""minute\"":[],\""month\"":[],\""weekday\"":[]}}} package: com.aware.phone"" | ""Scheduler triggered: schedule_aware_study_compliance schedule: {\""schedule\"":{\""schedule_id\"":\""schedule_aware_study_compliance\"",\""action\"":{\""type\"":\""service\"",\""intent_action\"":\""ACTION_AWARE_STUDY_COMPLIANCE\"",\""class\"":\""com.aware.phone\\/com.aware.Aware\""},\""trigger\"":{\""interval\"":10,\""random\"":{},\""context\"":[],\""condition\"":[],\""hour\"":[],\""minute\"":[],\""month\"":[],\""weekday\"":[]}}} package: com.aware.phone"" | ""STUDY-SYNC: aware_device"" | ""{\""internet\"":true,\""wifi\"":true,\""bt\"":true,\""network\"":true,\""airplane\"":false,\""roaming\"":false,\""location_gps\"":true,\""location_network\"":true}"" | ""STUDY-SYNC: screen"" | ""STUDY-SYNC: sensor_accelerometer"" | ""STUDY-SYNC: calls"" | ""STUDY-SYNC: sensor_gyroscope"" | ""STUDY-SYNC: sensor_rotation"" | ""STUDY-SYNC: sensor_light"" | ""STUDY-SYNC: keyboard"" | ""STUDY-SYNC: telephony"" | ""STUDY-SYNC: sensor_proximity"" | ""STUDY-SYNC: sensor_gravity"" | ""STUDY-SYNC: gsm"" | ""STUDY-SYNC: messages"" | ""{\""table\"":\""aware_device\"",\""last_sync_timestamp\"":1743325046197}"" | ""{\""table\"":\""sensor_accelerometer\"",\""last_sync_timestamp\"":1743325072887}"" | ""STUDY-SYNC: aware_studies"" | ""{\""table\"":\""screen\"",\""last_sync_timestamp\"":1743325072941}""",social_behavior,communication-related key
aware_log,timestamp,200,200,100.0,number,1743325072850 | 1743325072862 | 1743325073674 | 1743325073796 | 1743325073835 | 1743325073836 | 1743325073848 | 1743325073853 | 1743325073857 | 1743325073858 | 1743325073862 | 1743325073863 | 1743325073872 | 1743325073874 | 1743325074198 | 1743325074209 | 1743325074258 | 1743325074281 | 1743325074296 | 1743325074308,unknown,table=aware_log key=timestamp
battery,battery_adaptor,12,12,100.0,string,"""1"" | ""0""",phone_use_state,battery/phone usage proxy
battery,battery_health,12,12,100.0,string,"""2""",mobility,location/movement related key
battery,battery_level,12,12,100.0,string,"""46"" | ""35"" | ""100"" | ""47"" | ""54"" | ""76"" | ""20"" | ""73"" | ""33"" | ""18""",phone_use_state,battery/phone usage proxy
battery,battery_scale,12,12,100.0,string,"""100""",phone_use_state,battery/phone usage proxy
battery,battery_status,12,12,100.0,string,"""-3""",phone_use_state,battery/phone usage proxy
battery,battery_technology,12,12,100.0,string,"""Li-poly""",phone_use_state,battery/phone usage proxy
battery,battery_temperature,12,12,100.0,string,"""37"" | ""38"" | ""31"" | ""39"" | ""33""",phone_use_state,battery/phone usage proxy
battery,battery_voltage,12,12,100.0,string,"""3641"" | ""3656"" | ""4284"" | ""3815"" | ""3440"" | ""4161"" | ""3346"" | ""3926"" | ""3334"" | ""4009""",phone_use_state,battery/phone usage proxy
battery,device_id,12,12,100.0,string,"""c3b613d0-daa4-4d16-b116-1dcf30024a39""",unknown,table=battery key=device_id
battery,timestamp,12,12,100.0,number,1744033165511 | 1744181962432 | 1745491003013 | 1747656708332 | 1748192824149 | 1748724379881 | 1750149255083 | 1750353152774 | 1751834195599 | 1752610894279,unknown,table=battery key=timestamp
calls,call_duration,200,200,100.0,string,"""122"" | ""1040"" | ""0"" | ""59"" | ""582"" | ""698""",social_behavior,communication-related key
