repeat,fold,model,feature,importance_mean,importance_std
1,1,hist_gradient_boosting,unique_bluetooth_addresses,0.0,0.0
1,1,hist_gradient_boosting,call_event_count,0.0,0.0
1,1,hist_gradient_boosting,incoming_call_count,0.0,0.0
1,1,hist_gradient_boosting,missed_rejected_blocked_call_count,0.0,0.0
1,1,hist_gradient_boosting,outgoing_call_count,0.0,0.0
1,1,hist_gradient_boosting,total_call_duration_seconds,0.0,0.0
1,1,hist_gradient_boosting,gsm_cell_transition_count,-0.013067829641463765,0.015089435347630405
1,1,hist_gradient_boosting,unique_gsm_cell_count,-0.06434860051127345,0.03979593151768137
1,1,hist_gradient_boosting,unique_gsm_lac_count,-0.09774360751107854,0.036768574593825126
1,1,hist_gradient_boosting,gsm_neighbor_cell_transition_count,0.044501633037672406,0.03195809563015164
1,1,hist_gradient_boosting,unique_gsm_neighbor_cell_count,0.007665622087123107,0.00411003710855195
1,1,hist_gradient_boosting,unique_gsm_neighbor_lac_count,-0.029977696102263234,0.04435751472657564
1,1,hist_gradient_boosting,keyboard_deletion_event_count,0.05846462997878632,0.04564548186878438
1,1,hist_gradient_boosting,keyboard_inter_event_interval_iqr_ms,-0.056193362093948096,0.012065972757573736
1,1,hist_gradient_boosting,keyboard_long_pause_count_2s,0.0,0.0
1,1,hist_gradient_boosting,keyboard_median_inter_event_interval_ms,0.12019333939809111,0.040853728587085754
1,1,hist_gradient_boosting,keyboard_median_word_completion_time_ms,0.0,0.0
1,1,hist_gradient_boosting,keyboard_typing_burst_count,0.0013603559313507911,0.002728515970354029
1,1,hist_gradient_boosting,location_distinct_observation_count,0.0,0.0
1,1,hist_gradient_boosting,location_total_distance_km,0.0,0.0
1,1,hist_gradient_boosting,message_distinct_event_count,0.018558608806440446,0.018687907701159943
1,1,hist_gradient_boosting,outgoing_message_count,0.0,0.0
1,1,hist_gradient_boosting,activity_active_hour_count,-0.035031900878864285,0.030352996291499266
1,1,hist_gradient_boosting,activity_state_diversity,0.041344893517086,0.05223573075584919
1,1,hist_gradient_boosting,activity_still_fraction,-0.04382474798995576,0.011923320259639911
1,1,hist_gradient_boosting,activity_transition_count,-0.008520535038562945,0.0013124393271534479
1,1,hist_gradient_boosting,activity_unknown_fraction,0.022873096132075332,0.13219697142842604
1,1,hist_gradient_boosting,median_unlocked_session_duration_seconds,0.016629291878877222,0.022505599057453134
1,1,hist_gradient_boosting,night_screen_event_count,0.0,0.0
1,1,hist_gradient_boosting,screen_active_hour_count,0.03593003449548663,0.0025280644258541024
1,1,hist_gradient_boosting,screen_event_count,-0.09312350792586226,0.2011297998915163
1,1,hist_gradient_boosting,screen_off_event_count,0.0,0.0
1,1,hist_gradient_boosting,screen_on_event_count,-0.05679785170037258,0.02089905358314333
1,1,hist_gradient_boosting,screen_transition_count,-0.028326067380080627,0.004108047137040252
1,1,hist_gradient_boosting,screen_unlock_event_count,-0.10386975000844068,0.24229948548729563
1,1,hist_gradient_boosting,telephony_event_count,0.003899281443078569,0.003590695877413619
1,1,hist_gradient_boosting,telephony_mobile_data_enabled_fraction,0.3257348310397461,0.30604764046748384
1,1,hist_gradient_boosting,telephony_network_type_diversity,-0.09208111313500449,0.036289785402811366
1,1,hist_gradient_boosting,touch_active_hour_count,-0.0031231941782134953,0.0038359469354013074
1,1,hist_gradient_boosting,touch_app_diversity,-0.01570860042706516,0.011590751799221123
1,1,hist_gradient_boosting,touch_click_event_count,0.0,0.0
1,1,hist_gradient_boosting,touch_distinct_event_count,0.04293297147633209,0.005229935149045777
1,1,hist_gradient_boosting,touch_scroll_direction_change_count,0.0,0.0
1,1,hist_gradient_boosting,touch_scroll_event_count,-0.027563882300138804,0.01794391571610021
1,1,hist_gradient_boosting,touch_scroll_index_change_median,0.0,0.0
1,1,hist_gradient_boosting,touch_unique_app_count,0.0,0.0
1,1,hist_gradient_boosting,missing__0,0.0,0.0
1,1,hist_gradient_boosting,missing__1,0.0,0.0
1,1,hist_gradient_boosting,missing__2,0.0,0.0
1,1,hist_gradient_boosting,missing__3,0.0,0.0
1,1,hist_gradient_boosting,missing__4,0.0,0.0
1,1,hist_gradient_boosting,missing__5,0.0,0.0
1,1,hist_gradient_boosting,missing__6,0.0,0.0
1,1,hist_gradient_boosting,missing__7,0.0,0.0
1,1,hist_gradient_boosting,missing__8,0.0,0.0
1,1,hist_gradient_boosting,missing__9,0.0,0.0
1,1,hist_gradient_boosting,missing__10,0.0,0.0
1,1,hist_gradient_boosting,missing__11,0.0,0.0
1,1,hist_gradient_boosting,missing__12,0.0,0.0
1,1,hist_gradient_boosting,missing__13,0.0,0.0
1,1,hist_gradient_boosting,missing__14,0.0,0.0
1,1,hist_gradient_boosting,missing__15,0.0,0.0
1,1,hist_gradient_boosting,missing__16,0.0,0.0
1,1,hist_gradient_boosting,missing__17,0.0,0.0
1,1,hist_gradient_boosting,missing__18,0.0,0.0
1,1,hist_gradient_boosting,missing__19,0.0,0.0
1,1,hist_gradient_boosting,missing__20,0.0,0.0
1,1,hist_gradient_boosting,missing__21,0.0,0.0
1,1,hist_gradient_boosting,missing__22,0.0,0.0
1,1,hist_gradient_boosting,missing__23,0.0,0.0
1,1,hist_gradient_boosting,missing__24,0.0,0.0
1,1,hist_gradient_boosting,missing__25,0.0,0.0
1,1,hist_gradient_boosting,missing__26,0.0,0.0
1,1,hist_gradient_boosting,missing__27,0.0,0.0
1,1,hist_gradient_boosting,missing__28,0.0,0.0
1,1,hist_gradient_boosting,missing__29,0.0,0.0
1,1,hist_gradient_boosting,missing__30,0.0,0.0
1,1,hist_gradient_boosting,missing__31,0.0,0.0
1,1,hist_gradient_boosting,missing__32,0.0,0.0
1,1,hist_gradient_boosting,missing__33,0.0,0.0
1,1,hist_gradient_boosting,missing__34,0.0,0.0
1,1,hist_gradient_boosting,missing__35,0.0,0.0
1,1,hist_gradient_boosting,missing__36,0.0,0.0
1,1,hist_gradient_boosting,missing__37,0.0,0.0
1,1,hist_gradient_boosting,missing__38,0.0,0.0
1,1,hist_gradient_boosting,missing__39,0.0,0.0
1,1,hist_gradient_boosting,missing__40,0.0,0.0
1,1,hist_gradient_boosting,missing__41,-0.01017484241750033,0.0264694986210127
1,1,hist_gradient_boosting,missing__42,0.0,0.0
1,1,hist_gradient_boosting,missing__43,0.0,0.0
1,1,hist_gradient_boosting,missing__44,0.0,0.0
1,1,hist_gradient_boosting,missing__45,0.0,0.0
1,1,hist_gradient_boosting,missing__46,0.0,0.0
1,1,hist_gradient_boosting,missing__47,0.0,0.0
1,1,hist_gradient_boosting,missing__48,0.0,0.0
1,1,hist_gradient_boosting,missing__49,0.0,0.0
1,1,hist_gradient_boosting,missing__50,0.0,0.0
1,1,hist_gradient_boosting,missing__51,0.0,0.0
1,1,hist_gradient_boosting,missing__52,0.0,0.0
1,1,hist_gradient_boosting,missing__53,0.0,0.0
1,1,hist_gradient_boosting,missing__54,0.0,0.0
1,1,hist_gradient_boosting,missing__55,0.0,0.0
1,1,hist_gradient_boosting,missing__56,0.0,0.0
1,1,hist_gradient_boosting,missing__57,0.0,0.0
1,1,hist_gradient_boosting,missing__58,0.0,0.0
1,1,hist_gradient_boosting,missing__59,0.0,0.0
1,1,hist_gradient_boosting,missing__60,0.0,0.0
1,1,hist_gradient_boosting,missing__61,0.0,0.0
1,1,hist_gradient_boosting,missing__62,0.0,0.0
1,1,hist_gradient_boosting,missing__63,0.0,0.0
1,1,hist_gradient_boosting,missing__64,0.0,0.0
1,1,hist_gradient_boosting,missing__65,0.0,0.0
1,1,hist_gradient_boosting,missing__66,0.0,0.0
1,1,xgboost,barometer_downward_transition_count,0.0,0.0
1,1,xgboost,barometer_estimated_elevation_change_m,0.0,0.0
1,1,xgboost,barometer_large_vertical_shift_count,0.0,0.0
1,1,xgboost,barometer_pressure_range,0.0,0.0
1,1,xgboost,barometer_pressure_sd,0.0,0.0
1,1,xgboost,barometer_upward_transition_count,0.0,0.0
1,1,xgboost,sensor_linear_accelerometer_active_hour_count,0.0,0.0
1,1,xgboost,sensor_linear_accelerometer_event_count,0.0,0.0
1,1,xgboost,sensor_linear_accelerometer_maximum_range,0.0,0.0
1,1,xgboost,sensor_linear_accelerometer_power_ma,0.0,0.0
1,1,xgboost,sensor_linear_accelerometer_resolution,0.0,0.0
1,1,xgboost,significant_active_hour_count,0.0,0.0
1,1,xgboost,significant_motion_transition_count,0.0,0.0
1,1,xgboost,significant_moving_event_count,0.0,0.0
1,1,xgboost,significant_moving_fraction,0.0,0.0
1,1,xgboost,app_foreground_event_count,-0.07227543941509336,0.020667860002089627
1,1,xgboost,app_use_diversity,0.07236059184793457,0.062939070466055
1,1,xgboost,unique_foreground_apps,-0.004293406301271692,0.002696275544163803
1,1,xgboost,charging_or_plugged_event_count,0.0,0.0
1,1,xgboost,low_battery_event_count,0.0,0.0
1,1,xgboost,bluetooth_address_diversity_ratio,0.0,0.0
1,1,xgboost,unique_bluetooth_addresses,0.0,0.0
1,1,xgboost,call_event_count,0.0,0.0
1,1,xgboost,incoming_call_count,0.0,0.0
1,1,xgboost,missed_rejected_blocked_call_count,0.0,0.0
1,1,xgboost,outgoing_call_count,0.0,0.0
1,1,xgboost,total_call_duration_seconds,0.0,0.0
1,1,xgboost,gsm_cell_transition_count,-0.0588176162307974,0.011525027096725858
1,1,xgboost,unique_gsm_cell_count,-0.0402725427140922,0.024180043482028193
1,1,xgboost,unique_gsm_lac_count,-0.15440503966470706,0.04422578465558305
1,1,xgboost,gsm_neighbor_cell_transition_count,0.0921473873123085,0.027141009731827804
1,1,xgboost,unique_gsm_neighbor_cell_count,0.03319563428448132,0.012880637077179924
