analysis_scope,repeat,cohort_size,domain,model,n_predictions,rmse,mae,r2
repeat,3,20,Attention,domain_group_ridge,20,10.793957287183202,8.089961718794598,-0.18846663262253371
repeat,4,20,Attention,domain_group_ridge,20,11.101189208551409,8.078457819476753,-0.25708490741614787
repeat,5,20,Attention,domain_group_ridge,20,10.114283685183171,7.925552130103445,-0.0435081941588058
repeat,6,20,Attention,domain_group_ridge,20,9.48932554869776,7.582445478945564,0.08146376154504353
repeat,7,20,Attention,domain_group_ridge,20,10.916821090883834,8.624626001879971,-0.21567640778179187
repeat,8,20,Attention,domain_group_ridge,20,9.745212309392652,8.02006772860891,0.03125781315884124
repeat,9,20,Attention,domain_group_ridge,20,8.98105778203252,7.200778421555387,0.1772259538468175
repeat,10,20,Attention,domain_group_ridge,20,10.028440229912874,8.54292531751482,-0.025870126963620788
pooled,pooled,20,Attention,mean_baseline,200,10.07851869386072,7.2535625,-0.03614136969540249
pooled,pooled,20,Attention,ridge,200,14.459959511942664,9.821512187778806,-1.13284726555925
pooled,pooled,20,Attention,domain_group_ridge,200,12.215714905645472,9.063121327910784,-0.5221707754010447
repeat,1,20,Motor,ridge,19,9.358687019699184,8.747290099084651,-0.0943080686643023
repeat,2,20,Motor,ridge,19,13.611437175788364,12.093413945044107,-1.3148226350778138
repeat,3,20,Motor,ridge,19,12.322077284880502,11.145032800801705,-0.8970449048381799
repeat,4,20,Motor,ridge,19,9.780760046056512,9.197912181674548,-0.19523957147711934
repeat,5,20,Motor,ridge,19,9.059117474404712,8.444884646431827,-0.025372196716693995
repeat,6,20,Motor,ridge,19,9.26868172837089,8.607026811810373,-0.07336070809595219
repeat,7,20,Motor,ridge,19,9.248291304310902,8.620505417060844,-0.06864327221069577
repeat,8,20,Motor,ridge,19,9.644028901927244,9.030282961696614,-0.16205520651472716
repeat,9,20,Motor,ridge,19,10.259570619389438,9.441572183005336,-0.3151283042315758
repeat,10,20,Motor,ridge,19,12.211064810504412,10.751690059623115,-0.8630170390279979
repeat,1,20,Motor,domain_group_ridge,19,9.698643773490666,9.11750659422878,-0.175254088739889
repeat,2,20,Motor,domain_group_ridge,19,14.796901575351903,12.047279952503382,-1.7355919963252835
repeat,3,20,Motor,domain_group_ridge,19,9.606930413543834,9.037986892336905,-0.15313205340933944
repeat,4,20,Motor,domain_group_ridge,19,9.834672636382848,9.299220707781629,-0.2084524622715267
repeat,5,20,Motor,domain_group_ridge,19,13.834786468728698,11.229682815931945,-1.3914134929924997
repeat,6,20,Motor,domain_group_ridge,19,13.237450672712097,10.630877155657517,-1.1893664768468089
repeat,7,20,Motor,domain_group_ridge,19,9.803663052402419,9.161644980202682,-0.20084376379936764
repeat,8,20,Motor,domain_group_ridge,19,9.237710130821444,8.681871818624137,-0.06619935453766801
repeat,9,20,Motor,domain_group_ridge,19,10.179557717237385,9.527075112987305,-0.2946953036204478
repeat,10,20,Motor,domain_group_ridge,19,11.246914051328664,10.251304977415142,-0.5804345198041854
pooled,pooled,20,Motor,mean_baseline,190,9.027501296800944,8.365605263157894,-0.018227620038511416
pooled,pooled,20,Motor,ridge,190,9.883377829130175,8.646943544340573,-0.22045157116303815
pooled,pooled,20,Motor,domain_group_ridge,190,9.80644151088868,8.821492856875196,-0.20152452308836533
repeat,1,10,Memory,ridge,10,24.84751336817493,21.157372674543225,-1.0443936878046824
repeat,2,10,Memory,ridge,10,20.631753176262997,17.12123380278342,-0.4095189942063431
repeat,3,10,Memory,ridge,10,26.11317119985512,21.209823443281167,-1.257968596657185
repeat,4,10,Memory,ridge,10,25.842898151385505,20.344348727021362,-1.2114702304529246
repeat,5,10,Memory,ridge,10,24.350488153152526,19.226709322707762,-0.9634236114202188
repeat,6,10,Memory,ridge,10,26.234965327700788,23.105907936400843,-1.2790804442364077
repeat,7,10,Memory,ridge,10,22.224858353229312,19.8557702856034,-0.6355983697177103
repeat,8,10,Memory,ridge,10,26.34066200620909,22.720615646189014,-1.297481573190339
repeat,9,10,Memory,ridge,10,24.322045993586357,23.011226709951114,-0.9588396052602337
repeat,10,10,Memory,ridge,10,20.217492526034075,17.49269781472694,-0.35348437956729795
repeat,1,10,Memory,domain_group_ridge,10,23.008751122112834,20.414974093410894,-0.7530114733247502
repeat,2,10,Memory,domain_group_ridge,10,19.164954997521374,15.777362466215767,-0.21622597131889942
repeat,3,10,Memory,domain_group_ridge,10,24.568501870706744,22.401416626971873,-0.9987386730190249
repeat,4,10,Memory,domain_group_ridge,10,22.78042827619479,21.784440887041864,-0.7183927621808865
repeat,5,10,Memory,domain_group_ridge,10,19.815019466219436,18.451938385134817,-0.3001326720664774
repeat,6,10,Memory,domain_group_ridge,10,21.22464438674002,19.44429888831837,-0.4916932018114628
repeat,7,10,Memory,domain_group_ridge,10,22.956802107068725,21.16131091293707,-0.7451045327509698
repeat,8,10,Memory,domain_group_ridge,10,30.463870720405975,22.91925456573348,-2.0730443845785045
repeat,9,10,Memory,domain_group_ridge,10,25.35496250976667,22.505848081399506,-1.1287497549527075
repeat,10,10,Memory,domain_group_ridge,10,22.370643920923946,20.00473207246382,-0.6571263981116691
pooled,pooled,10,Memory,mean_baseline,100,17.242836556089024,15.61875,0.01549916538657281
pooled,pooled,10,Memory,ridge,100,23.92445114539297,19.121388198639888,-0.8953203786681185
