repeat,fold,feature_scope,term_name,coefficient,ridge_alpha
1,1,t1_week_all_available,missingindicator_unique_gsm_cell_count,0.09038104518359487,356.2247890262444
1,1,t1_week_all_available,missingindicator_unique_gsm_lac_count,0.09038104518359487,356.2247890262444
1,1,t1_week_all_available,missingindicator_gsm_neighbor_cell_transition_count,0.06286950112131441,356.2247890262444
1,1,t1_week_all_available,missingindicator_unique_gsm_neighbor_cell_count,0.06286950112131441,356.2247890262444
1,1,t1_week_all_available,missingindicator_unique_gsm_neighbor_lac_count,0.06286950112131441,356.2247890262444
1,1,t1_week_all_available,missingindicator_keyboard_deletion_event_count,-0.1073627712973314,356.2247890262444
1,1,t1_week_all_available,missingindicator_keyboard_inter_event_interval_iqr_ms,-0.1073627712973314,356.2247890262444
1,1,t1_week_all_available,missingindicator_keyboard_long_pause_count_2s,-0.1073627712973314,356.2247890262444
1,1,t1_week_all_available,missingindicator_keyboard_median_inter_event_interval_ms,-0.1073627712973314,356.2247890262444
1,1,t1_week_all_available,missingindicator_keyboard_median_word_completion_time_ms,0.03190072868742581,356.2247890262444
1,1,t1_week_all_available,missingindicator_keyboard_typing_burst_count,-0.1073627712973314,356.2247890262444
1,1,t1_week_all_available,missingindicator_location_distinct_observation_count,-0.043212676397174285,356.2247890262444
1,1,t1_week_all_available,missingindicator_location_total_distance_km,-0.043212676397174285,356.2247890262444
1,1,t1_week_all_available,missingindicator_message_distinct_event_count,0.05235158775203946,356.2247890262444
1,1,t1_week_all_available,missingindicator_outgoing_message_count,0.05235158775203946,356.2247890262444
1,1,t1_week_all_available,missingindicator_activity_active_hour_count,0.09038104518359487,356.2247890262444
1,1,t1_week_all_available,missingindicator_activity_state_diversity,0.09038104518359487,356.2247890262444
1,1,t1_week_all_available,missingindicator_activity_still_fraction,0.09038104518359487,356.2247890262444
1,1,t1_week_all_available,missingindicator_activity_transition_count,0.09038104518359487,356.2247890262444
1,1,t1_week_all_available,missingindicator_activity_unknown_fraction,0.09038104518359487,356.2247890262444
1,1,t1_week_all_available,missingindicator_median_unlocked_session_duration_seconds,0.09038104518359487,356.2247890262444
1,1,t1_week_all_available,missingindicator_night_screen_event_count,0.12192918700624396,356.2247890262444
