analysis_scope,repeat,outcome,model,n_predictions,rmse,mae,r2
repeat,20,Memory,domain_group_10pct_delta_ridge,61,10.78169684983154,7.99632117178522,-0.016837197910610557
repeat,1,Executive function,mean_baseline,61,9.68549513532178,7.577369800379168,-0.004883793212568266
repeat,1,Executive function,t1_primary_10pct_delta_ridge,61,9.861628606571161,7.704940426736055,-0.04176430540363141
repeat,2,Executive function,mean_baseline,61,9.815311461122803,7.654662233745956,-0.032001569618719694
repeat,2,Executive function,t1_primary_10pct_delta_ridge,61,11.037901888664306,8.178037863440963,-0.305104377254968
repeat,3,Executive function,mean_baseline,61,9.720591928281046,7.556743476078957,-0.01217967177215673
repeat,3,Executive function,t1_primary_10pct_delta_ridge,61,16.830851647129016,10.841543547737096,-2.0344806417542114
repeat,4,Executive function,mean_baseline,61,9.961110877863586,7.812582943013271,-0.06288856776997398
repeat,4,Executive function,t1_primary_10pct_delta_ridge,61,10.040024915795343,7.866796074633099,-0.07979613457066725
repeat,5,Executive function,mean_baseline,61,9.800945387244859,7.653581883573102,-0.028982824664652185
repeat,5,Executive function,t1_primary_10pct_delta_ridge,61,9.937725149655506,7.6984096812239065,-0.0579037331027874
repeat,6,Executive function,mean_baseline,61,9.761437970619648,7.607296197167391,-0.02070392565344137
repeat,6,Executive function,t1_primary_10pct_delta_ridge,61,10.873594829897787,8.395442377940888,-0.26653874524645915
repeat,7,Executive function,mean_baseline,61,9.698865308170475,7.597476162596186,-0.0076600567283497956
repeat,7,Executive function,t1_primary_10pct_delta_ridge,61,9.756368147339806,7.641516157986302,-0.019643949711776854
repeat,8,Executive function,mean_baseline,61,9.797346100055492,7.6493127578900415,-0.028227198651250784
repeat,8,Executive function,t1_primary_10pct_delta_ridge,61,9.961481304085986,7.814367036759302,-0.06296762102468256
repeat,9,Executive function,mean_baseline,61,9.82591119660848,7.6893588992974236,-0.03423172813898678
repeat,9,Executive function,t1_primary_10pct_delta_ridge,61,9.752840095114037,7.664661424600868,-0.018906645292298574
repeat,10,Executive function,mean_baseline,61,9.984048163461418,7.707159585145533,-0.06778919549991436
repeat,10,Executive function,t1_primary_10pct_delta_ridge,61,9.999992107205836,7.5324850139340525,-0.07120231297872048
repeat,11,Executive function,mean_baseline,61,9.691428624170321,7.54087487453998,-0.006115386032329084
repeat,11,Executive function,t1_primary_10pct_delta_ridge,61,11.014456469361047,8.37903888681466,-0.29956596559695514
repeat,12,Executive function,mean_baseline,61,9.885562820578507,7.627933673469387,-0.04682717444022266
repeat,12,Executive function,t1_primary_10pct_delta_ridge,61,10.372849882416133,8.135086952828132,-0.15257281736200756
repeat,13,Executive function,mean_baseline,61,9.96523883749877,7.783050351288055,-0.0637696884155532
repeat,13,Executive function,t1_primary_10pct_delta_ridge,61,9.940963245459846,7.652439084257064,-0.05859325745237687
repeat,14,Executive function,mean_baseline,61,9.889825001131275,7.639790342366454,-0.04773005237562167
repeat,14,Executive function,t1_primary_10pct_delta_ridge,61,9.997227326750087,7.681706457586288,-0.07061006655034419
repeat,15,Executive function,mean_baseline,61,9.74759005710453,7.568814124010259,-0.017809968062494574
repeat,15,Executive function,t1_primary_10pct_delta_ridge,61,10.356104656417205,8.098026578925314,-0.1488545501268852
repeat,16,Executive function,mean_baseline,61,9.827040289737583,7.746778465484554,-0.03446942844125189
repeat,16,Executive function,t1_primary_10pct_delta_ridge,61,9.578989966155271,7.402296579324825,0.017094819663458494
repeat,17,Executive function,mean_baseline,61,9.969312551027064,7.740886026541765,-0.06463958803176584
repeat,17,Executive function,t1_primary_10pct_delta_ridge,61,11.24382141687586,9.059992109517015,-0.3542538087424201
repeat,18,Executive function,mean_baseline,61,9.721745603134552,7.6161439165830265,-0.012419944286042428
repeat,18,Executive function,t1_primary_10pct_delta_ridge,61,10.1218594841835,7.902547835097514,-0.0974703483555528
repeat,19,Executive function,mean_baseline,61,9.728177965899336,7.601002983160477,-0.01376011651922937
repeat,19,Executive function,t1_primary_10pct_delta_ridge,61,9.939481983950646,7.778665261775158,-0.058277807815778626
repeat,20,Executive function,mean_baseline,61,10.096463559142789,7.881954667112747,-0.09197011196452975
repeat,20,Executive function,t1_primary_10pct_delta_ridge,61,13.86724516540804,9.790296912387243,-1.0599305321609607
repeat,1,Executive function,mean_baseline,61,9.68549513532178,7.577369800379168,-0.004883793212568266
repeat,1,Executive function,working_10pct_delta_ridge,61,9.999079200457869,7.711828999132874,-0.07100674018776121
repeat,2,Executive function,mean_baseline,61,9.815311461122803,7.654662233745956,-0.032001569618719694
repeat,2,Executive function,working_10pct_delta_ridge,61,9.703348402163964,7.518291030939026,-0.008591810835298697
repeat,3,Executive function,mean_baseline,61,9.720591928281046,7.556743476078957,-0.01217967177215673
repeat,3,Executive function,working_10pct_delta_ridge,61,17.361359233173715,10.964452040474226,-2.2287887703997935
repeat,4,Executive function,mean_baseline,61,9.961110877863586,7.812582943013271,-0.06288856776997398
repeat,4,Executive function,working_10pct_delta_ridge,61,9.922930564974456,7.7451829704676936,-0.05475621274131437
repeat,5,Executive function,mean_baseline,61,9.800945387244859,7.653581883573102,-0.028982824664652185
repeat,5,Executive function,working_10pct_delta_ridge,61,10.264857163244422,7.836398292471217,-0.12869865697593919
repeat,6,Executive function,mean_baseline,61,9.761437970619648,7.607296197167391,-0.02070392565344137
repeat,6,Executive function,working_10pct_delta_ridge,61,10.106689834001386,7.87391211434849,-0.09418325156859164
repeat,7,Executive function,mean_baseline,61,9.698865308170475,7.597476162596186,-0.0076600567283497956
